Time,Channel A
(s),(mV)

0.00000000,77.84051000
0.00100000,76.93411000
0.00200000,76.93411000
0.00300000,76.93411000
0.00400000,76.03076000
0.00500000,76.93411000
0.00600000,77.84051000
0.00700000,77.84051000
0.00800000,77.84051000
0.00900000,76.93411000
0.01000000,76.93411000
0.01100000,76.93411000
0.01200000,76.93411000
0.01300000,76.93411000
0.01400000,77.84051000
0.01500000,77.84051000
0.01600000,76.93411000
0.01700000,78.74691000
0.01800000,76.93411000
0.01900000,78.74691000
0.02000000,76.93411000
0.02100000,76.93411000
0.02200000,77.84051000
0.02300000,76.93411000
0.02400000,77.84051000
0.02500000,76.93411000
0.02600000,76.93411000
0.02700000,77.84051000
0.02800000,76.93411000
0.02900000,78.74691000
0.03000000,77.84051000
0.03100000,76.93411000
0.03200000,76.93411000
0.03300000,76.93411000
0.03400000,77.84051000
0.03500000,76.93411000
0.03600000,76.93411000
0.03700000,77.84051000
0.03800000,76.93411000
0.03900000,76.93411000
0.04000000,76.93411000
0.04100000,76.93411000
0.04200000,76.93411000
0.04300000,76.93411000
0.04400000,77.84051000
0.04500000,76.03076000
0.04600000,77.84051000
0.04700000,78.74691000
0.04800000,76.93411000
0.04900000,76.93411000
0.05000000,77.84051000
0.05100000,76.93411000
0.05200000,76.03076000
0.05300000,77.84051000
0.05400000,76.93411000
0.05500000,77.84051000
0.05600000,76.93411000
0.05700000,77.84051000
0.05800000,78.74691000
0.05900000,77.84051000
0.06000000,76.93411000
0.06100000,77.84051000
0.06200000,76.03076000
0.06300000,76.93411000
0.06400000,77.84051000
0.06500000,76.93411000
0.06600000,76.93411000
0.06700000,76.93411000
0.06800000,77.84051000
0.06900000,77.84051000
0.07000000,77.84051000
0.07100000,75.12437000
0.07200000,76.93411000
0.07300000,76.93411000
0.07400000,76.93411000
0.07500000,76.93411000
0.07600000,75.12437000
0.07700000,77.84051000
0.07800000,76.93411000
0.07900000,77.84051000
0.08000000,76.93411000
0.08100000,76.93411000
0.08200000,77.84051000
0.08300000,76.93411000
0.08400000,77.84051000
0.08500000,77.84051000
0.08600000,77.84051000
0.08700000,77.84051000
0.08800000,76.93411000
0.08900000,76.93411000
0.09000000,77.84051000
0.09100000,76.93411000
0.09200000,77.84051000
0.09300000,78.74691000
0.09400000,77.84051000
0.09500000,76.93411000
0.09600000,77.84051000
0.09700000,76.93411000
0.09800000,76.93411000
0.09900000,76.03076000
0.10000000,77.84051000
0.10100000,77.84051000
0.10200000,77.84051000
0.10300000,77.84051000
0.10400000,76.93411000
0.10500000,76.03076000
0.10600001,77.84051000
0.10700001,76.93411000
0.10800001,77.84051000
0.10900001,76.93411000
0.11000001,76.03076000
0.11100001,77.84051000
0.11200001,77.84051000
0.11300001,77.84051000
0.11400001,76.03076000
0.11500001,76.93411000
0.11600001,77.84051000
0.11700001,77.84051000
0.11800001,76.03076000
0.11900001,77.84051000
0.12000001,76.93411000
0.12100001,76.93411000
0.12200001,76.93411000
0.12300001,76.93411000
0.12400001,77.84051000
0.12500001,77.84051000
0.12600001,77.84051000
0.12700001,77.84051000
0.12800001,77.84051000
0.12900001,76.93411000
0.13000001,77.84051000
0.13100001,76.93411000
0.13200001,77.84051000
0.13300001,76.93411000
0.13400001,76.93411000
0.13500001,76.93411000
0.13600001,77.84051000
0.13700001,77.84051000
0.13800001,77.84051000
0.13900001,77.84051000
0.14000001,77.84051000
0.14100001,77.84051000
0.14200001,76.93411000
0.14300001,76.03076000
0.14400001,77.84051000
0.14500001,77.84051000
0.14600001,76.93411000
0.14700001,76.03076000
0.14800001,77.84051000
0.14900001,76.93411000
0.15000001,77.84051000
0.15100001,76.93411000
0.15200001,76.93411000
0.15300001,77.84051000
0.15400001,77.84051000
0.15500001,77.84051000
0.15600001,76.93411000
0.15700001,77.84051000
0.15800001,77.84051000
0.15900001,76.03076000
0.16000001,76.93411000
0.16100001,77.84051000
0.16200001,77.84051000
0.16300001,77.84051000
0.16400001,76.93411000
0.16500001,76.93411000
0.16600001,76.93411000
0.16700001,77.84051000
0.16800001,76.93411000
0.16900001,77.84051000
0.17000001,77.84051000
0.17100001,77.84051000
0.17200001,76.93411000
0.17300001,76.93411000
0.17400001,76.93411000
