Time;Temperature
(s);(C)

0;95.6
12;94.9
18;94
24;93
29;91.9
34;90.9
39;89.9
43;88.9
48;88
53;86.9
56;85.9
60;84.8
63;84
67;82.9
69;82
73;80.9
77;80.1
81;78.9
84;77.9
88;76.9
92;76
97;74.9
101;73.9
106;73.1
110;72.1
116;70.9
121;70
127;69
132;68
138;67.1
144;66
149;65
155;64.1
161;63.1
168;62
174;61
180;60
188;58.9
193;58.1
200;57.1
208;56
216;55
224;53.9
232;53
240;52
249;51
258;50
269;49
279;48
289;47
300;46
312;45
324;44
336;43
350;42
364;41
378;40
