Time;Temperature
(s);(C)

0;-148.0
1;-147
6;-146
10;-145
14;-144
19;-143
23;-142
26;-141
30;-140
34;-139
39;-138
43;-137
48;-136
54;-135
59;-134
64;-133
69;-132
75;-131
81;-130
87;-129
92;-128
98;-127
104;-126
111;-125
116;-124
121;-123
127;-122
134;-121
141;-120
147;-119
153;-118
160;-117
168;-116
174;-115
181;-114
189;-113
197;-112
204;-111
212;-110
220;-109
227;-108
235;-107
244;-106
253;-105
261;-104
269;-103
279;-102
287;-101
296;-100
305;-99
314;-98
325;-97
335;-96
344;-95
354;-94
365;-93
375;-92
385;-91
395;-90
407;-89
418;-88
429;-87
442;-86
453;-85
465;-84
477;-83
490;-82
502;-81
516;-80
529;-79
543;-78
556;-77
571;-76
585;-75
600;-74
615;-73
640;-72
