Time;Channel A;Channel B
(s);(V);(V)

0,00000000;0,15260650;0,06226346
0,00666670;0,14772310;0,07325113
0,01333340;0,15748990;0,07325113
0,02000010;0,15748990;0,07325113
0,02666680;0,15748990;0,07813454
0,03333350;0,16359420;0,08301795
0,04000020;0,15260650;0,07325113
0,04666690;0,15748990;0,06714687
0,05333360;0,16847760;0,07813454
0,06000030;0,16359420;0,07325113
0,06666700;0,16359420;0,06714687
0,07333370;0,16847760;0,07325113
0,08000040;0,16359420;0,07813454
0,08666710;0,15748990;0,07325113
0,09333380;0,15748990;0,07325113
0,10000050;0,16359420;0,06226346
0,10666720;0,15748990;0,08301795
0,11333390;0,16847760;0,07813454
0,12000060;0,16359420;0,07325113
0,12666730;0,15260650;0,07813454
0,13333400;0,16359420;0,07325113
0,14000070;0,15748990;0,07325113
0,14666740;0,15748990;0,06714687
0,15333410;0,16359420;0,07813454
0,16000080;0,15260650;0,05738005
0,16666750;0,16847760;0,07325113
0,17333420;0,16847760;0,06714687
0,18000090;0,15260650;0,06226346
0,18666760;0,16359420;0,06714687
0,19333430;0,16359420;0,08301795
0,20000100;0,15260650;0,06714687
0,20666770;0,16847760;0,06714687
0,21333440;0,16847760;0,07325113
0,22000110;0,15260650;0,06714687
0,22666780;0,16847760;0,06714687
0,23333450;0,16359420;0,06714687
0,24000120;0,15748990;0,07813454
0,24666790;0,16359420;0,08301795
0,25333460;0,14772310;0,07325113
0,26000130;0,14772310;0,08301795
0,26666800;0,16359420;0,07325113
0,27333470;0,17336100;0,06714687
0,28000140;0,15260650;0,06226346
0,28666810;0,15260650;0,08301795
0,29333480;0,17336100;0,08301795
0,30000150;0,16847760;0,07325113
0,30666819;0,15748990;0,06226346
0,31333489;0,16359420;0,07325113
0,32000159;0,15748990;0,07325113
0,32666829;0,14161880;0,07813454
0,33333499;0,16359420;0,07813454
0,34000169;0,15748990;0,07325113
0,34666839;0,15260650;0,07325113
0,35333509;0,17336100;0,07813454
0,36000179;0,16359420;0,07325113
0,36666849;0,15748990;0,06226346
0,37333519;0,15748990;0,06714687
0,38000189;0,16847760;0,07325113
0,38666859;0,15748990;0,07813454
0,39333529;0,16847760;0,07325113
0,40000199;0,16847760;0,05738005
0,40666869;0,14772310;0,07325113
0,41333539;0,16847760;0,08301795
0,42000209;0,15748990;0,07325113
0,42666879;0,15748990;0,07325113
0,43333549;0,17946530;0,05738005
0,44000219;0,16359420;0,06226346
0,44666889;0,16359420;0,06714687
0,45333559;0,16359420;0,07813454
0,46000229;0,15748990;0,06226346
0,46666899;0,15748990;0,08301795
0,47333569;0,16847760;0,06714687
0,48000239;0,16847760;0,06226346
0,48666909;0,15260650;0,07325113
0,49333579;0,16359420;0,07813454
0,50000249;0,15260650;0,07325113
0,50666919;0,16359420;0,07813454
0,51333589;0,16359420;0,07813454
0,52000259;0,15748990;0,06226346
0,52666929;0,15748990;0,06714687
0,53333599;0,16359420;0,07325113
0,54000269;0,16847760;0,06714687
0,54666939;0,15260650;0,07325113
0,55333609;0,16359420;0,08301795
0,56000279;0,15748990;0,06714687
0,56666949;0,15260650;0,07813454
0,57333619;0,15748990;0,06226346
